site_id,COMID,comments
ABOM-77269010,56156423,
ABOM-79464010,56157257,
ABOM-524472010,56157839,
ABOM-91619010,56157353,
ABOM-79572010,56155813,
ABOM-90550010,56157750,
ABOM-79824010,56156315,
ABOM-75120010,56155969,
ABOM-82216010,56156163,
ABOM-81373010,56155660,
ABOM-83925010,56154546,
ABOM-89519010,56156663,
ABOM-83268010,56154582,
ABOM-84960010,56154543,
ABOM-84897010,56154560,
ABOM-17114010,56007788,
ABOM-20299010,NONE,
ABOM-20720010,56031267,
ABOM-21379010,56029135,
ABOM-23101010,56061658,
ABOM-24392010,56062250,
ABOM-15573010,56000388,
ABOM-27791010,56062721,
ABOM-29276010,56082080,
ABOM-34197010,56104899,
ABOM-34466010,56106382,
ABOM-31256010,56084329,
ABOM-33091010,56082822,
ABOM-54710010,56171327,
ABOM-60507010,56172279,
ABOM-31369010,56087699,
ABOM-26879010,56062597,
ABOM-44687010,56047735,
ABOM-25868010,56067986,
ABOM-29681010,56086761,
ABOM-44884010,56096280,
ABOM-32506010,56092048,
ABOM-29789010,NONE,
ABOM-58770010,56172222,
ABOM-30678010,56085772,
ABOM-31682010,56087936,
ABOM-25510010,56062564,
ABOM-55549010,56172385,
ABOM-61223010,56172502,
ABOM-28501010,56066686,
ABOM-31826010,56094288,
ABOM-28770010,56081841,
ABOM-30741010,56085039,
ABOM-32910010,56102103,
ABOM-61564010,56171592,
ABOM-62191010,56171579,
ABOM-61929010,56172538,
ABOM-62028010,56171691,
ABOM-52305010,56007759,
ABOM-587407010,56172499,
ABOM-52198010,56007840,
ABOM-52136010,56007585,
ABOM-42564010,56017046,
ABOM-54629010,56171338,
ABOM-55628010,56171754,
ABOM-56026010,56171463,
ABOM-53981010,56171798,
ABOM-54062010,56171343,
ABOM-54809010,56171334,
ABOM-54584010,56171721,
ABOM-56511010,56171647,
ABOM-57630010,56171901,
ABOM-57810010,56171760,
ABOM-55187010,56171361,
ABOM-34071010,56104750,
ABOM-58033010,56171710,
ABOM-57273010,56171610,
ABOM-57389010,56171533,
ABOM-56250010,56171754,
ABOM-57505010,56171550,
ABOM-57711010,56171809,
ABOM-54386010,56171585,
ABOM-55744010,56171703,
ABOM-769081010,56101851,
ABOM-773672010,56018981,
ABOM-771564010,56169275,
ABOM-770872010,56155954,
ABOM-770892010,56156192,
ABOM-769139010,56120994,
ABOM-762434010,56172368,
ABOM-770937010,56062136,
ABOM-769220010,56062143,
ABOM-760759010,56083940,
ABOM-771584010,56169481,
ABOM-765858010,56156042,
ABOM-765105010,56156098,
ABOM-765085010,56156098,
ABOM-215678010,56156609,
ABOM-208982010,56154386,
ABOM-214052010,56154402,
ABOM-208797010,56154401,
ABOM-213005010,56154395,
ABOM-212543010,56155786,
ABOM-207525010,56081706,
ABOM-208648010,56154410,
ABOM-209063010,56154381,
ABOM-232977010,NONE,
ABOM-202590010,56144263,
ABOM-183775010,56165109,
ABOM-183736010,56164932,
ABOM-169176010,NONE,
ABOM-169302010,NONE,
ABOM-191515010,56120818,
ABOM-169977010,56139198,
ABOM-163501010,56126198,
ABOM-149127010,56154667,
ABOM-159934010,56127915,
ABOM-144870010,56165109,
ABOM-147158010,56164914,
ABOM-133975010,56124216,
ABOM-134542010,56127022,
ABOM-158266010,NONE,
ABOM-136425010,56142072,
ABOM-137407010,56150181,
ABOM-138072010,56141267,
ABOM-168238010,56120877,
ABOM-186153010,56124830,
ABOM-191221010,56157807,
ABOM-182942010,56144482,
ABOM-151353010,56164816,
ABOM-187023010,56121094,
ABOM-162785010,56125155,
ABOM-152844010,56164671,
ABOM-170622010,56120832,
ABOM-155798010,56155865,
ABOM-169383010,56122982,
ABOM-186194010,56101808,
ABOM-157744010,56121067,
ABOM-155245010,56155814,
ABOM-169132010,56120888,
ABOM-191404010,56120803,
ABOM-150086010,56154657,
ABOM-135594010,56142689,
ABOM-165608010,56141017,
ABOM-133028010,56103132,
ABOM-139625010,56149599,
ABOM-154734010,NONE,
ABOM-160440010,56123230,
ABOM-188041010,56139792,
ABOM-188199010,56164271,
ABOM-137033010,56141398,
ABOM-156861010,NONE,
ABOM-188014010,56123882,
ABOM-187749010,56120905,
ABOM-191295010,NONE,
ABOM-146707010,NONE,
ABOM-154187010,56155618,
ABOM-187328010,NONE,
ABOM-185002010,56154643,
ABOM-135837010,56140962,
ABOM-156342010,NONE,
ABOM-159581010,NONE,
ABOM-162830010,56143265,
ABOM-188786010,56144273,
ABOM-183330010,56157790,
ABOM-144278010,56164853,
ABOM-134387010,56126521,
ABOM-187626010,56121601,
ABOM-190010010,56159279,
ABOM-161166010,56123368,
ABOM-188934010,56144418,
ABOM-187368010,56139837,
ABOM-134884010,56121371,
ABOM-157807010,56103412,
ABOM-158311010,56124044,
ABOM-185978010,56154719,
ABOM-186598010,56123148,
ABOM-133253010,56124449,
ABOM-165903010,56139804,
ABOM-186663010,56127183,
ABOM-186793010,56121151,
ABOM-136179010,56146028,
ABOM-137495010,56145403,
ABOM-158221010,56103646,
ABOM-135379010,56141918,
ABOM-138161010,56139701,
ABOM-169009010,56122552,
ABOM-169221010,NONE,
ABOM-184695010,56154653,
ABOM-144105010,56166717,
ABOM-154887010,56155713,
ABOM-140551010,56156951,
ABOM-149179010,56164834,
ABOM-167166010,56141261,
ABOM-167436010,NONE,
ABOM-148022010,56163927,
ABOM-154450010,56155554,
ABOM-159473010,56123150,
ABOM-185484010,NONE,
ABOM-146155010,56163987,
ABOM-143527010,56165316,
ABOM-186108010,56124739,
ABOM-163269010,56121159,
ABOM-135416010,56143794,
ABOM-155387010,56154729,
ABOM-154825010,56155539,
ABOM-145203010,56165129,
ABOM-139517010,56139741,
ABOM-155475010,56154719,
ABOM-163091010,56133998,
ABOM-150794010,56165162,
ABOM-141251010,56158838,
ABOM-186878010,56122429,
ABOM-134458010,56124932,
ABOM-187974010,56139233,
ABOM-146325010,NONE,
ABOM-153622010,56164892,
ABOM-191589010,NONE,
ABOM-160132010,56123153,
ABOM-188299010,56123148,
ABOM-142377010,56165839,
ABOM-137113010,56141693,
ABOM-162875010,56124246,
ABOM-186898010,56141887,
ABOM-151767010,56168537,
ABOM-281370010,56168989,
ABOM-279666010,56169175,
ABOM-281770010,56165402,
ABOM-495108010,56158188,
ABOM-280790010,56169197,
ABOM-280246010,56169200,
ABOM-385123010,56156871,
ABOM-286858010,56154476,
ABOM-286898010,56154460,
ABOM-282370010,56164325,
ABOM-286878010,56154469,
ABOM-283557010,56170775,
ABOM-232797010,56106092,
ABOM-287358010,56164266,
ABOM-287018010,56156509,
ABOM-287378010,56164332,
ABOM-285159010,56169751,
ABOM-315304010,NONE,
ABOM-287758010,56164251,
ABOM-317928010,56169005,
ABOM-287438010,56164384,
ABOM-287798010,56165022,
ABOM-287658010,56164248,
ABOM-317588010,56169290,
ABOM-318188010,NONE,
ABOM-287778010,56164889,
ABOM-287898010,56154407,
ABOM-294065010,56169100,
ABOM-298387010,56019874,
ABOM-321906010,56163872,
ABOM-298608010,56028937,
ABOM-208427010,NONE,
ABOM-723491010,56169021,
ABOM-767712010,56139226,
ABOM-208388010,56154407,
ABOM-208874010,56154396,
ABOM-485270010,56156562,
ABOM-217277010,56154374,
ABOM-768737010,56028975,
ABOM-208751010,56154408,
ABOM-208490010,56156743,
ABOM-211635010,NONE,
ABOM-208921010,56154394,
ABOM-213983010,56154371,
ABOM-277046010,56168973,
ABOM-274583010,56065411,
ABOM-280350010,56169486,
ABOM-225308010,56156189,
ABOM-227247010,56165178,
ABOM-278246010,56169692,
ABOM-281450010,56169296,
ABOM-284137010,56169640,
ABOM-282929010,56169751,
ABOM-281270010,56169051,
ABOM-306724010,56168865,
ABOM-277166010,56169090,
ABOM-306544010,56169208,
ABOM-276566010,56169350,
ABOM-276646010,56168865,
ABOM-276766010,56168870,
ABOM-276786010,56169599,
ABOM-276986010,56169278,
ABOM-277066010,56169011,
ABOM-276546010,56169318,
ABOM-276806010,56168845,
ABOM-276826010,56168841,
ABOM-276526010,56169960,
ABOM-276706010,56168905,
ABOM-276726010,56169557,
ABOM-276966010,56169011,
ABOM-277206010,56169526,
ABOM-276426010,56169507,
ABOM-276666010,56168822,
ABOM-276746010,56168815,
ABOM-277186010,56169465,
ABOM-276466010,56169476,
ABOM-277006010,56169188,
ABOM-276506010,56169213,
ABOM-276586010,56168812,
ABOM-276626010,56169310,
ABOM-276946010,56169148,
ABOM-277146010,56169258,
ABOM-233331010,56105043,
ABOM-289365010,56170121,
ABOM-277446010,56169042,
ABOM-282630010,56165097,
ABOM-289237010,56169465,
ABOM-281510010,56169159,
ABOM-289147010,56169302,
ABOM-277286010,56169368,
ABOM-277366010,56169189,
ABOM-289012010,56169862,
ABOM-277386010,56169026,
ABOM-289103010,56169729,
ABOM-289192010,56169478,
ABOM-277226010,56169409,
ABOM-277406010,56169130,
ABOM-572715010,56169800,
ABOM-289890010,56169356,
ABOM-289560010,56169706,
ABOM-289755010,56169510,
ABOM-294020010,56170648,upstream of reservoir
ABOM-296127010,56169147,
ABOM-293977010,56169948,
ABOM-295992010,56169948,
ABOM-296084010,56169930,
ABOM-294424010,56169314,
ABOM-296489010,56169705,
ABOM-277506010,56170435,
ABOM-277766010,56169516,
ABOM-277806010,56169049,
ABOM-308204010,56169695,
ABOM-277606010,56169321,
ABOM-277646010,56169814,
ABOM-278046010,56169259,
ABOM-277466010,56169136,
ABOM-277866010,56169372,
ABOM-132921010,56105464,
ABOM-134927010,56125802,
ABOM-154567010,56154961,
ABOM-158625010,56121423,
ABOM-163046010,NONE,
ABOM-184060010,56163967,
ABOM-146477010,56164626,
ABOM-137991010,56141021,
ABOM-149523010,56164158,
ABOM-139312010,56139714,
ABOM-184020010,56163985,
ABOM-142991010,56167139,
ABOM-182710010,56144376,
ABOM-185256010,56154722,
ABOM-186488010,56123645,
ABOM-187498010,56140060,
ABOM-184889010,NONE,
