site_id,COMID,status,comments
BRANA-17420000,62084605,AUTO-MATCH,
BRANA-17430000,62069261,AUTO-MATCH,
BRANA-17675000,62069698,AUTO-MATCH,
BRANA-17680000,62054010,AUTO-MATCH,
BRANA-17710000,62053487,AUTO-MATCH,
BRANA-18200000,62023647,AUTO-MATCH,
BRANA-18250000,62039708,AUTO-MATCH,
BRANA-18409000,62140886,AUTO-MATCH,
BRANA-18415000,62127467,AUTO-MATCH,
BRANA-18420000,62129079,AUTO-MATCH,
BRANA-18421000,62114994,MATCHED,
BRANA-18422000,62114713,MATCHED,
BRANA-18428000,62114588,AUTO-MATCH,
BRANA-18435000,62099567,AUTO-MATCH,
BRANA-18460000,62069350,AUTO-MATCH,
BRANA-18480000,62085583,AUTO-MATCH,
BRANA-18500000,62068792,AUTO-MATCH,
BRANA-18590000,62069167,MATCHED,
BRANA-18600000,62053572,AUTO-MATCH,
BRANA-18650000,62053630,AUTO-MATCH,
BRANA-18700000,62053474,AUTO-MATCH,
BRANA-18880000,62038924,AUTO-MATCH,
BRANA-19200000,62012917,AUTO-MATCH,
BRANA-20100000,62140585,AUTO-MATCH,
BRANA-20200000,62140247,AUTO-MATCH,
BRANA-21210000,62141567,AUTO-MATCH,
BRANA-21220000,62127824,AUTO-MATCH,
BRANA-21300000,62128286,AUTO-MATCH,
BRANA-21500000,62127458,MATCHED,
BRANA-21560000,62129369,AUTO-MATCH,
BRANA-21750000,62128381,AUTO-MATCH,
BRANA-22050001,62113541,MATCHED,
BRANA-22100000,62114506,AUTO-MATCH,
BRANA-22150000,62114430,AUTO-MATCH,
BRANA-22190000,62116477,AUTO-MATCH,
BRANA-22220000,62115866,MATCHED,
BRANA-22250000,62115783,AUTO-MATCH,
BRANA-22680000,62100105,AUTO-MATCH,
BRANA-22700000,62100096,AUTO-MATCH,
BRANA-22900000,62098953,MATCHED,
BRANA-23100000,62084245,AUTO-MATCH,
BRANA-23150000,62087147,AUTO-MATCH,
BRANA-23230000,62086640,AUTO-MATCH,
BRANA-23250000,62086383,AUTO-MATCH,
BRANA-23251000,62072438,AUTO-MATCH,
BRANA-23610000,62072103,AUTO-MATCH,
BRANA-23650000,62071806,AUTO-MATCH,
BRANA-23700000,62068665,AUTO-MATCH,
BRANA-24050000,62147240,AUTO-MATCH,
BRANA-24070000,62147691,AUTO-MATCH,
BRANA-24196000,62147573,AUTO-MATCH,
BRANA-24200000,62139487,MATCHED,
BRANA-24500000,62139467,MATCHED,
BRANA-24700000,62139370,AUTO-MATCH,
BRANA-24750000,62147440,AUTO-MATCH,
BRANA-24780000,62147702,AUTO-MATCH,
BRANA-24800000,62139586,AUTO-MATCH,
BRANA-24850000,62139356,AUTO-MATCH,
BRANA-24900000,62147717,AUTO-MATCH,
BRANA-25090000,62142773,MATCHED,
BRANA-25130000,62140316,MATCHED,
BRANA-25140000,62140447,MATCHED,
BRANA-25200000,62139333,AUTO-MATCH,
BRANA-25700000,62127220,AUTO-MATCH,
BRANA-25750000,62127072,AUTO-MATCH,
BRANA-25800000,62127016,AUTO-MATCH,
BRANA-26050000,62140073,AUTO-MATCH,
BRANA-26100000,62140049,AUTO-MATCH,
BRANA-26150000,62140205,AUTO-MATCH,
BRANA-26200000,62127246,AUTO-MATCH,
BRANA-26300000,62113873,AUTO-MATCH,
BRANA-26350000,62113683,AUTO-MATCH,
BRANA-26720000,62114992,AUTO-MATCH,
BRANA-26730000,62114844,AUTO-MATCH,
BRANA-26790000,62116871,AUTO-MATCH,
BRANA-26800000,62099152,AUTO-MATCH,
BRANA-27110000,62100772,AUTO-MATCH,
